"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Aaron Judge","NYY","123","543","49","101","109","14","13.6%","25.0%",".365",".312",".295",".396",".661",".440",".457","196","0.9","59.1","0.8","8.0","15640"
"Paul Goldschmidt","STL","120","525","33","92","105","5","12.2%","20.8%",".294",".383",".338",".423",".633",".448",".376","195","2.4","60.9","-12.7","6.9","9218"
"Nolan Arenado","STL","117","496","27","62","84","3","8.5%","12.5%",".264",".304",".306",".371",".570",".400",".342","162","-1.5","34.9","12.8","6.8","9777"
"Mookie Betts","LAD","107","495","30","98","67","12","8.7%","16.4%",".273",".278",".278",".347",".551",".384",".350","150","3.4","32.6","7.4","6.0","13611"
"Freddie Freeman","LAD","125","558","16","89","80","10","10.4%","14.7%",".192",".360",".325",".398",".517",".392",".403","155","5.5","41.8","-6.3","5.7","5361"
"Manny Machado","SDP","117","503","22","78","77","7","10.1%","19.7%",".220",".339",".298",".370",".519",".379",".337","148","3.0","31.4","5.0","5.6","11493"
"Jose Ramirez","CLE","121","523","26","72","106","14","9.6%","10.3%",".268",".272",".285",".356",".553",".381",".334","153","3.8","34.5","1.2","5.5","13510"
"Francisco Lindor","NYM","127","559","21","80","85","14","9.5%","19.0%",".179",".296",".266",".343",".445",".343",".336","126","3.9","21.1","11.0","5.4","12916"
"Dansby Swanson","ATL","128","548","16","83","73","16","7.3%","26.3%",".155",".374",".289",".343",".444",".344",".336","118","3.6","15.1","16.1","5.2","18314"
"Trea Turner","LAD","125","554","18","81","86","20","6.3%","18.1%",".179",".355",".312",".355",".491",".364",".351","137","3.6","27.7","2.3","5.1","16252"
"Yordan Alvarez","HOU","109","452","31","78","80","1","14.2%","19.5%",".302",".303",".294",".398",".597",".417",".452","179","-1.0","39.2","-7.6","4.8","19556"
"Austin Riley","ATL","126","550","31","74","83","2","7.6%","23.6%",".268",".329",".287",".356",".555",".390",".389","149","-1.3","30.3","-3.4","4.8","18360"
"Rafael Devers","BOS","109","477","25","69","65","2","6.7%","17.8%",".252",".320",".297",".354",".549",".382",".367","148","0.9","26.6","3.0","4.7","17350"
"J.T. Realmuto","PHI","108","439","14","59","64","16","7.3%","21.2%",".188",".317",".270",".337",".458",".345",".343","121","4.6","15.3","14.3","4.7","11739"
"Jeff McNeil","NYM","114","444","7","55","49","2","6.3%","12.4%",".140",".357",".322",".374",".462",".365",".316","141","3.2","24.6","4.7","4.6","15362"
"Andres Gimenez","CLE","112","417","15","49","60","15","5.5%","20.4%",".189",".354",".302",".366",".491",".371",".339","145","2.3","23.5","7.1","4.6","19950"
"Xander Bogaerts","BOS","120","503","11","69","53","7","8.9%","19.7%",".146",".359",".299",".370",".445",".356",".315","130","3.7","20.4","7.0","4.5","12161"
"Alex Bregman","HOU","123","521","19","77","75","1","12.9%","12.3%",".206",".272",".268",".369",".474",".366",".351","143","-1.5","23.6","3.0","4.5","17678"
"Sean Murphy","OAK","117","480","16","53","53","1","9.0%","20.2%",".190",".291",".254",".334",".443",".338",".349","128","-2.1","13.0","12.9","4.3","19352"
"Jose Altuve","HOU","110","473","21","72","45","12","10.6%","14.6%",".222",".298",".285",".372",".507",".381",".348","154","-2.6","25.7","-0.8","4.2","5417"
"Tommy Edman","STL","123","513","9","81","43","26","7.6%","18.1%",".120",".297",".252",".314",".372",".303",".306","97","6.9","4.9","16.9","4.1","19470"
"Mike Trout","LAA","87","359","27","58","56","1","11.4%","29.8%",".326",".318",".268",".362",".594",".402",".393","166","-0.6","25.8","2.2","4.1","10155"
"Byron Buxton","MIN","92","382","28","61","51","6","8.9%","30.4%",".303",".244",".224",".306",".526",".356",".358","137","4.2","20.0","6.6","4.0","14161"
"Jose Trevino","NYY","92","282","10","37","37","2","4.6%","16.7%",".158",".295",".271",".309",".429",".321",".287","111","0.2","3.8","24.8","3.9","16725"
"Brandon Nimmo","NYM","119","532","12","77","44","0","9.8%","16.7%",".154",".304",".265",".357",".420",".343",".340","126","-1.2","15.2","4.1","3.9","12927"
"Corey Seager","TEX","120","528","26","71","64","3","9.5%","15.2%",".208",".254",".255",".331",".463",".340",".381","124","1.7","16.1","4.7","3.9","13624"
"Kyle Tucker","HOU","117","475","22","56","82","19","10.5%","15.8%",".213",".266",".258",".335",".472",".349",".365","131","3.1","19.5","0.7","3.7","18345"
"Adley Rutschman","BAL","78","324","8","52","25","2","13.9%","16.7%",".191",".286",".254",".364",".445",".355",".344","135","3.6","16.3","8.4","3.6","26288"
"Eugenio Suarez","SEA","126","529","24","62","72","0","12.5%","32.1%",".217",".303",".228",".335",".446",".342",".334","130","-2.0","15.6","2.1","3.6","12552"
"Jake Cronenworth","SDP","125","547","13","74","66","2","10.8%","19.6%",".148",".283",".241",".342",".389",".324",".305","111","5.3","12.3","3.0","3.6","18036"
"Will Smith","LAD","107","452","18","54","73","1","10.6%","16.2%",".198",".288",".270",".356",".468",".358",".364","132","-0.8","16.4","2.0","3.5","19197"
"Julio Rodriguez","SEA","110","467","21","65","65","23","6.6%","27.0%",".206",".330",".266",".325",".472",".343",".328","131","3.4","19.5","-0.5","3.5","23697"
"George Springer","TOR","99","426","18","65","56","11","9.4%","18.1%",".206",".300",".275",".351",".481",".360",".339","138","4.7","22.9","-2.6","3.5","12856"
"Nico Hoerner","CHC","112","426","7","41","41","15","5.9%","11.3%",".114",".314",".289",".338",".403",".324",".306","107","1.7","5.4","13.6","3.5","21479"
"Jose Abreu","CHW","125","542","14","69","60","0","10.0%","16.2%",".149",".351",".308",".384",".456",".368",".376","143","-0.9","25.1","-8.6","3.5","15676"
"DJ LeMahieu","NYY","113","493","12","72","45","4","12.6%","13.2%",".127",".300",".275",".371",".402",".345",".357","129","-3.2","12.6","4.8","3.4","9874"
